Player,Runs,is_century,is_duck,missed_century,ScoreRate,No. of Matches
Dudley M Vonhagt,8.0,0,0,0,47.05,1
Dulip K Liyanage,144.0,0,0,0,73.69454545454545,11
Dulip P Samaraweera,91.0,0,0,0,45.685,4
Duncan A G Fletcher,191.0,0,0,0,53.87166666666667,6
Duncan I Allan,35.0,0,0,0,44.965,2
Durand Soraine,8.0,0,1,0,42.06,3
Dwayne J J Bravo,1910.0,1,8,0,75.75052083333331,96
Dwayne R Smith,925.0,0,7,0,95.95360655737703,61
Dwight M Basden,12.0,0,0,0,30.8,2
E H Shadeep N Silva,7.0,0,0,0,53.84,1
Ebrahim A Essop-Adam,14.0,0,0,0,93.33,1
Eddo A Brandes,404.0,0,3,0,86.45243902439022,42
Edgar Schiferli,153.0,0,4,0,76.89894736842105,19
Edmund C Joyce,777.0,1,1,0,56.59964285714285,28
Edward C Rainsford,55.0,0,7,0,47.35304347826086,23
Edward E Hemmings,30.0,0,2,0,53.82833333333334,12
Edward O Odumbe,61.0,0,0,0,37.964285714285715,7
Edward R Fernando,47.0,0,0,0,79.62666666666667,3
Ehsanul Haque,57.0,0,1,0,39.16166666666667,6
Eion Katchay,23.0,0,0,0,67.19,3
Eknath D Solkar,27.0,0,1,0,41.975,6
Eldine A E Baptiste,184.0,0,0,0,77.01249999999999,16
Elijah Otieno,40.0,0,8,0,18.73,15
Ellawalakankanamage De Silva,138.0,0,2,0,56.4775,20
Ellukutige R N S Fernando,101.0,0,2,0,54.077999999999996,5
Elton Chigumbura,2744.0,0,9,0,78.62738461538461,130
Enamul Haque,236.0,0,1,0,56.219230769230776,26
Enamul Haque Jr,12.0,0,2,0,53.33200000000001,5
Eoin J G Morgan,2241.0,4,4,2,73.72130434782608,69
Eric Gouka,19.0,0,1,0,27.14,2
Eric O Simons,217.0,0,1,0,75.93111111111111,18
Eric S Szwarczynski,825.0,0,1,0,65.0444117647059,34
Errol L R Stewart,61.0,0,0,0,47.671666666666674,6
Ervin B McSweeney,73.0,0,3,0,61.02571428571429,14
Evan J Gray,98.0,0,0,0,44.215714285714284,7
Everton H Mattis,86.0,0,0,0,43.35,2
Everton Matambanadzo,8.0,0,2,0,28.091999999999995,5
Ewen J Chatfield,118.0,0,18,0,33.064166666666665,48
Ezra A Moseley,7.0,0,2,0,50.0,6
Fahad Alhashmi,0.0,0,2,0,0.0,2
Fahad Usman,9.0,0,1,0,34.615,2
Fahim Muntasir,6.0,0,1,0,30.55333333333333,3
Faisal Athar,9.0,0,0,0,23.68,1
Faisal Hossain,43.0,0,1,0,49.714,5
Faisal Iqbal,314.0,1,3,0,47.503125,16
Farhad Reza,390.0,0,4,0,54.745172413793114,29
Farokh M Engineer,114.0,0,0,0,53.53,4
Faruk Ahmed,105.0,0,1,0,32.23571428571429,7
Fawad Alam,603.0,0,1,0,71.1508,25
Fazl-E-Akbar,7.0,0,0,0,87.5,1
Fidel H Edwards,73.0,0,4,0,45.794090909090905,22
Fiqre S Crockwell,68.0,0,0,0,101.94500000000001,2
Floyd L Reifer,117.0,0,0,0,46.73500000000001,8
Forster Mutizwa,403.0,0,2,0,71.414,15
Francis N Otieno,16.0,0,1,0,20.94,4
Francois du Plessis,288.0,0,0,0,85.7375,12
Frank C Hayes,128.0,0,0,0,54.173333333333325,6
Frank D M Karunaratne,64.0,0,0,0,65.155,2
Franklym A Dennis,47.0,0,0,0,24.25666666666667,3
Franklyn A Rose,217.0,0,2,0,71.42521739130434,23
Frasat Ali,57.0,0,1,0,24.383333333333336,3
Frederick J Titmus,11.0,0,0,0,34.37,1
Friday Kasteni,18.0,0,1,0,29.709999999999997,3
Gagan K Khoda,115.0,0,0,0,57.705,2
Gallage P Wickremasinghe,344.0,0,13,0,60.45703124999999,64
Ganesh Mylvaganam,36.0,0,1,0,29.959999999999997,3
Gareth J Batty,30.0,0,2,0,52.436249999999994,8
Gareth J Hopkins,236.0,0,3,0,63.46588235294115,17
Garfield St A Sobers,0.0,0,1,0,0.0,1
Garnett J-P Kruger,0.0,0,2,0,0.0,2
Garry J Cosier,154.0,0,1,0,74.72571428571429,7
Gary B Brent,408.0,0,5,0,65.51629629629629,54
Gary B Troup,101.0,0,2,0,62.241666666666674,12
Gary C Martin,31.0,0,0,0,43.63,4
Gary C Wilson,908.0,1,3,0,72.59441176470588,34
Gary E Kidd,15.0,0,0,0,60.0,1
Gary J Crocker,98.0,0,0,0,71.338,5
Gary J Gilmour,42.0,0,0,0,113.63499999999999,2
Gary K Robertson,49.0,0,1,0,90.76833333333333,6
Gary Kirsten,6798.0,13,11,4,60.52005405405405,185
Gautam Gambhir,4286.0,9,8,1,73.77817391304346,115
Gavin A Briant,39.0,0,1,0,53.35,5
Gavin C Tonge,10.0,0,1,0,56.942499999999995,4
Gavin J Rennie,635.0,0,5,0,62.90842105263159,38
Gavin M Ewing,97.0,0,2,0,53.69714285714286,7
Gavin M Hamilton,1231.0,2,1,0,59.20026315789474,38
Gavin R Robertson,45.0,0,0,0,74.2242857142857,7
Gavin Rolf Larsen,629.0,0,7,0,62.45742857142854,70
Gazi Ashraf,59.0,0,1,0,24.31714285714286,7
Geert-Maarten C Mol,25.0,0,0,0,50.96,4
Gegory D Campbell,6.0,0,1,0,27.776666666666667,3
Geoffrey A Cope,1.0,0,0,0,100.0,1
Geoffrey Boycott,1082.0,1,1,1,49.54264705882353,34
Geoffrey Cook,106.0,0,0,0,36.76499999999999,6
Geoffrey Dymock,35.0,0,1,0,45.69714285714286,7
Geoffrey E F  Barnett,455.0,0,1,0,57.573181818181816,22
Geoffrey F Lawson,378.0,0,12,0,66.04038461538462,52
Geoffrey G Arnold,48.0,0,2,0,42.473333333333336,6
Geoffrey I Allott,17.0,0,4,0,34.14727272727273,11
Geoffrey Miller,136.0,0,4,0,38.915000000000006,18
Geoffrey P Howarth,1384.0,0,2,0,57.622,65
Geoffrey R Marsh,4357.0,9,4,2,47.83208695652174,115
Geoffrey W Humpage,11.0,0,0,0,46.425,2
George B Hogg,790.0,0,12,0,74.3663076923077,65
George Dockrell,68.0,0,4,0,68.46076923076924,13
George H O'Brien,38.0,0,2,0,67.14,7
George R Codrington,236.0,0,1,0,60.82666666666666,15
George Salmond,57.0,0,0,0,44.56,5
Geraint O Jones,815.0,0,2,0,77.2280487804878,41
Gerald E Peckover,33.0,0,0,0,57.98666666666666,3
Gerald J A F Aponso,120.0,0,0,0,41.57749999999999,4
Gerhardus F J Liebenberg,94.0,0,0,0,50.112500000000004,4
Gerrie Synman,5.0,0,3,0,20.8325,4
Gholam Nousher,8.0,0,0,0,47.776666666666664,3
Ghulam A Parkar,165.0,0,0,0,45.722,10
Ghulam Ali,53.0,0,0,0,36.24666666666666,3
Ginigalgodage R A de Silva,9.0,0,1,0,39.545,4
Gladstone C Small,98.0,0,8,0,46.725833333333334,24
Glen Chapple,14.0,0,0,0,200.0,1
Glen K Bruk-Jackson,12.0,0,0,0,36.36,1
Glen P Sulzberger,9.0,0,0,0,60.0,2
Glenn A Bishop,13.0,0,0,0,29.58,2
Glenn A Rogers,81.0,0,1,0,50.096250000000005,8
Glenn Blakeney,72.0,0,0,0,117.85499999999999,2
Glenn D McGrath,115.0,0,32,0,39.576617647058825,68
Glenn M Turner,1598.0,3,1,1,59.65125000000002,40
Glenn S Trimble,4.0,0,1,0,100.0,2
Glenroy R Sealy,73.0,0,0,0,52.52,3
Golam Faruq,44.0,0,0,0,39.59,4
Gopal Sharma,11.0,0,0,0,67.5,2
Gopalkrishna Bose,13.0,0,0,0,72.22,1
Gordon D Drummond,207.0,0,1,0,100.10625,16
Gordon Goudie,40.0,0,3,0,52.22,9
Graeme A Hick,3846.0,5,10,2,62.11440677966104,118
Graeme C Smith,6360.0,8,8,4,71.84687861271676,173
Graeme D Porter,3.0,0,0,0,33.33,1
Graeme D Watson,11.0,0,1,0,36.665,2
Graeme F Labrooy,249.0,0,6,0,67.4811111111111,36
Graeme Fowler,744.0,0,2,0,53.14615384615384,26
Graeme M Wood,2219.0,3,4,2,50.84753246753247,77
Graeme P Swann,455.0,0,2,0,91.9046511627907,43
Graham A Gooch,4290.0,8,4,3,54.996065573770466,122
Graham A Manou,7.0,0,0,0,116.66,1
Graham B Stevenson,43.0,0,0,0,65.11500000000001,4
Graham D Barlow,149.0,0,2,0,37.593333333333334,6
Graham D Lloyd,39.0,0,2,0,28.416000000000004,5
Graham E Vivian,14.0,0,0,0,46.66,1
Graham N Edwards,138.0,0,1,0,62.53833333333333,6
Graham N Yallop,823.0,0,1,0,62.87481481481482,27
Graham Onions,1.0,0,0,0,50.0,1
Graham P Thorpe,2380.0,0,3,0,66.94974025974025,77
Graham R Dilley,114.0,0,5,0,56.30111111111111,18
Graham R J Roope,173.0,0,1,0,48.32125,8
Grant A Paterson,123.0,0,1,0,31.441000000000003,10
Grant D Elliott,716.0,1,4,0,62.37571428571429,28
Grant E Bradburn,60.0,0,2,0,42.411,10
Grant W Flower,6571.0,6,18,8,56.98897196261682,214
Granville N De Silva,9.0,0,0,0,45.83,2
Greg J Thompson,2.0,0,1,0,5.26,2
Gregor I Maiden,84.0,0,1,0,58.37333333333333,6
Gregory A Lamb,197.0,0,1,0,60.20357142857142,14
Gregory C Dyer,174.0,0,1,0,74.19,13
Gregory M Ritchie,959.0,0,2,0,55.46904761904763,42
Gregory M Strydom,147.0,0,2,0,48.339,10
Gregory R J Matthews,619.0,0,5,0,64.18660000000001,50
Gregory S Blewett,551.0,0,3,0,56.023,30
Gregory S Chappell,2331.0,3,7,1,63.35347222222221,72
Gulam H Bodi,83.0,0,0,0,74.235,2
Gulbodin Naib,0.0,0,1,0,0.0,1
Gundappa R Viswanath,439.0,0,1,0,50.36391304347826,23
Gursharan Singh,4.0,0,0,0,40.0,1
Guy J Whittall,2705.0,0,12,0,64.19253521126761,142
Gyanendrakumar K Pandey,4.0,0,1,0,22.22,2
H A Prasanna W Jayawardene,27.0,0,1,0,49.998000000000005,5
H D R Lahiru Thirimanne,37.0,0,0,0,81.53999999999999,2
H G Dharshana Nayanakanatha,3.0,0,0,0,33.33,2
Haafiz Shahid,11.0,0,0,0,57.77333333333333,3
Habibul Bashar,2168.0,0,18,0,46.09019047619047,105
Hafizur Rahman,8.0,0,0,0,33.33,1
Hamid Hassan,42.0,0,2,0,41.56249999999999,8
Hamilton Masakadza,2994.0,3,13,0,56.13203539823008,113
Hamish A G Anthony,23.0,0,1,0,61.10666666666666,3
Hamish J H Marshall,1454.0,1,3,0,64.76032258064515,62
Hamish K Bennett,7.0,0,4,0,17.856666666666666,6
Hamish McLeod,5.0,0,1,0,31.25,2
Hammad Azam,38.0,0,0,0,40.97,3
Hamza Tariq,42.0,0,0,0,53.416666666666664,3
Handunettige D P K Dharmasena,1232.0,0,2,0,71.05034482758622,87
Haninder S Dhillon,14.0,0,0,0,30.555,2
Hannan Sarkar,383.0,0,2,0,41.655,20
Harbhajan Singh,1190.0,0,18,0,71.58138211382114,123
Harilal Shah,6.0,0,2,0,3.7733333333333334,3
Haroon Rashid,166.0,0,0,0,45.997,10
Harry P Rinke,319.0,0,2,0,57.671666666666674,18
Harun-Ur-Rashid,0.0,0,2,0,0.0,2
Harvinder Singh,6.0,0,1,0,30.0,5
Harvir S Baidwan,215.0,0,3,0,65.4921052631579,19
Hasan Durham,35.0,0,1,0,34.324285714285715,7
Hasan Jamil,111.0,0,0,0,110.292,5
Hasan Raza,242.0,0,1,0,39.9476923076923,13
Hashan P Tillakaratne,3789.0,2,11,0,54.93589285714287,168
Hashim M Amla,2538.0,8,1,2,86.56686274509804,51
Hasibul Hussain,172.0,0,4,0,62.24538461538462,26
Hasti Gul,23.0,0,0,0,209.09,1
Heath H Streak,2943.0,0,8,0,77.51433962264146,159
Heath Te-Ihi-O-Te-Ra Davis,13.0,0,2,0,31.899999999999995,6
Hedley J Howarth,18.0,0,1,0,56.3,5
Hemal S M Pieris,19.0,0,1,0,20.453333333333333,3
Hemang K Badani,867.0,1,1,0,73.34666666666666,36
Henderson R Bryan,43.0,0,1,0,58.85,8
Hendrik H Dippenaar,3421.0,4,4,1,65.2794736842105,95
Hendrik J Mol,67.0,0,2,0,37.5,9
Henry K Olonga,95.0,0,9,0,45.4974074074074,27
Henry Osinde,63.0,0,13,0,29.696666666666665,27
Henry S Williams,8.0,0,0,0,63.885,2
Herschelle H Gibbs,8094.0,21,22,4,68.41941666666662,240
Hettiarachige M Goonatillake,31.0,0,0,0,57.595,4
Hilary A Gomes,1415.0,1,5,0,49.80031250000001,64
Hiral Patel ,395.0,0,1,0,75.9222222222222,18
Hiren A Varaiya,223.0,0,2,0,54.67333333333334,33
Hitesh S Modi,1109.0,0,5,0,51.28678571428572,56
Howard R Johnson,9.0,0,1,0,30.0,2
Hrishikesh H Kanitkar,339.0,0,2,0,70.21518518518518,27
Humayun Farhat,60.0,0,0,0,92.51666666666667,3
Iain E O'Brien,3.0,0,1,0,18.75,2
Iain L Philip,20.0,0,1,0,14.463333333333333,3
Iain P Butchart,252.0,0,2,0,52.95937500000001,16
Ian A Healy,1764.0,0,10,0,79.78391666666668,120
Ian A Nicolson,14.0,0,1,0,36.84,2
Ian C Davis,12.0,0,1,0,19.76,3
Ian D Austin,34.0,0,0,0,70.82833333333333,6
Ian D Blackwell,403.0,0,6,0,71.21758620689656,29
Ian D K Salisbury,7.0,0,0,0,58.33,2
Ian D R Bradshaw,287.0,0,7,0,50.79941176470588,34
Ian D S Smith,1055.0,0,7,0,95.88233766233765,77
Ian G Butler,84.0,0,4,0,42.783846153846156,13
Ian J Gould,155.0,0,2,0,55.40357142857143,14
Ian J Harvey,715.0,0,2,0,80.5356862745098,51
Ian J L Trott,1798.0,3,2,3,69.93846153846155,39
Ian M Chappell,673.0,0,0,0,72.43062499999999,16
Ian M Stanger,50.0,0,0,0,32.708000000000006,5
Ian R Bell,3234.0,1,6,0,67.64067307692311,104
Ian R Bishop,405.0,0,4,0,72.42522727272727,44
Ian R Redpath,46.0,0,1,0,52.58599999999999,5
Ian S Billcliff,532.0,0,0,1,54.06947368421052,19
Ian T Botham,2113.0,0,6,0,80.19867924528302,106
Ian W Callen,6.0,0,1,0,45.0,3
Iftikhar Anjum,234.0,0,5,0,73.46147058823529,34
Ijaz Ahmed,6564.0,10,14,3,74.72142241379306,232
Ijaz Ahmed Jr,3.0,0,0,0,150.0,1
Ijaz Faqih,197.0,0,4,0,44.59684210526316,19
Ilyas Gul,17.0,0,0,0,21.325,2
Imran Abbas,29.0,0,0,0,31.415,2
Imran Farhat,1226.0,1,3,1,60.079499999999996,40
Imran Khan,3709.0,1,6,0,74.56735099337747,151
Imran Nazir,1895.0,2,10,0,69.53075949367089,79
Imran Tahir,1.0,0,1,0,50.0,2
Imrul Kayes,1309.0,1,1,1,63.67574468085106,47
Imtiaz Abbasi,12.0,0,1,0,27.025000000000002,6
Indika P P Batuwitarachchi,14.0,0,1,0,15.215,2
Indika S Gallage,17.0,0,0,0,79.16499999999999,2
Intikhab Alam,17.0,0,0,0,37.650000000000006,2
Inzamam-ul-Haq,11739.0,10,20,2,67.45311428571429,351
Iqbal Sikander,1.0,0,0,0,33.33,1
Irfan A Karim,53.0,0,0,0,94.60499999999999,2
Irfan Ahmed,25.0,0,1,0,29.065,2
Irfan Fazil,15.0,0,0,0,93.75,1
Irfan K Pathan,1369.0,0,9,0,72.62166666666666,78
Irvine H Romaine,783.0,1,5,0,57.32235294117647,34
Irvine T Shillingford,30.0,0,0,0,74.785,2
Isaac V A Richards,6721.0,11,7,3,85.41149700598798,167
Ishant Sharma,47.0,0,6,0,30.546875,16
Ishwar Maraj,98.0,0,2,0,27.743333333333336,6
Izatullah Dawlatzai,6.0,0,0,0,37.5,1
Jack G Heron,50.0,0,1,0,29.36666666666667,6
Jacob D P Oram,2293.0,1,8,0,85.22816513761471,109
Jacob J Martin,158.0,0,1,0,43.57875000000001,8
Jacob-Jan Esmeijer,10.0,0,3,0,10.975999999999999,5
Jacobi Robinson,27.0,0,0,0,66.365,2
Jacobus A Rudolph,1174.0,0,0,0,64.62666666666665,39
Jacques H Kallis,11372.0,17,17,8,63.60085808580856,303
Jade W Dernbach,13.0,0,0,0,65.355,4
Jahangir Alam,4.0,0,1,0,22.546666666666667,3
Jahangir Shah,16.0,0,1,0,26.544999999999998,4
Jahurul Islam,156.0,0,0,0,68.135,6
Jai P Yadav,81.0,0,4,0,31.76571428571429,7
Jalaluddin,5.0,0,1,0,62.5,2
Jamaluddin Ahmed,18.0,0,0,0,64.28,1
James A H Marshall,250.0,1,2,0,45.999,10
James C Adams,2204.0,0,7,0,55.44857142857141,106
James C Tredwell,27.0,0,0,0,46.74333333333333,3
James D Hall,28.0,0,0,0,36.35,3
James D Love,61.0,0,0,0,51.03333333333333,3
James D Siddons,32.0,0,0,0,86.48,1
James E Brinkley,52.0,0,1,0,34.496,5
James E C Franklin,962.0,0,5,1,74.21828124999999,64
James J Atkinson ,41.0,0,0,0,55.0,2
James J Celestine,60.0,0,1,0,34.697500000000005,8
James K Kamande,1055.0,0,9,0,62.187083333333334,72
James L Pattinson,0.0,0,1,0,0.0,1
James M Anderson,199.0,0,21,0,35.03507936507937,63
James O Ngoche,23.0,0,5,0,13.75,8
James P Maher,438.0,0,1,1,61.77149999999999,20
James R Hopes,1326.0,0,1,0,98.87180327868852,61
James S Foster,41.0,0,0,0,64.40333333333334,6
James W A Taylor,1.0,0,0,0,12.5,1
James W M Dalrymple,487.0,0,2,0,61.18500000000001,26
Jamie M How,1046.0,1,3,0,56.32675675675675,37
Jamie O Troughton,36.0,0,1,0,42.07000000000001,5
Jan F Kloppenburg,165.0,1,1,0,44.050000000000004,6
Jan H Stander,36.0,0,1,0,65.15,4
Janak C Gamage,8.0,0,0,0,75.0,2
Janeiro J Tucker,496.0,0,1,0,68.64653846153846,26
Jason J Krejza,13.0,0,0,0,93.42,2
Jason N Gillespie,289.0,0,9,0,61.819743589743574,39
Jason Patraj,21.0,0,0,0,38.885,2
Jatin V Paranjpe,54.0,0,0,0,53.735,4
Javagal Srinath,883.0,0,25,0,69.9090082644628,121
Javed Ahmadi,67.0,0,0,0,54.378,5
Javed Miandad,7381.0,8,8,1,65.68435779816512,218
Javed Omar,1312.0,0,2,0,45.450847457627134,59
Javed Qadeer,12.0,0,0,0,52.17,1
Jawad J Dawood,25.0,0,0,0,131.57,1
Jawahir Shah,46.0,0,0,0,32.86666666666667,3
Jayawardene W H D Boteju,3.0,0,0,0,36.11,2
Jean-Paul Duminy,2289.0,2,7,1,79.45648648648648,74
Jeetan S Patel,88.0,0,3,0,48.408461538461545,13
Jeffrey J Crowe,1518.0,0,6,0,57.78366197183098,71
Jeffrey K Moss,7.0,0,0,0,43.75,1
Jeffrey R Hammond,15.0,0,0,0,53.57,1
Jeffrey R Thomson,181.0,0,5,0,58.43033333333333,30
Jeffrey W Wilson,103.0,0,1,0,71.47166666666666,6
Jehan Mubarak,696.0,0,3,0,53.90222222222223,36
Jekon Edness,252.0,0,1,0,56.67818181818182,11
Jeremy N Snape,118.0,0,0,0,67.78714285714285,7
Jeremy P Bray,401.0,2,2,0,46.63066666666668,15
Jeremy V Coney,1874.0,0,1,0,65.99537499999998,80
Jermaine J C Lawson,18.0,0,1,0,135.0,5
Jeroen Smits,168.0,0,4,0,39.098421052631586,19
Jerome E Taylor,204.0,0,5,0,72.98133333333334,30
Jesse D Ryder,1094.0,2,3,0,77.23548387096774,31
Jignesh H Desai,16.0,0,0,0,42.1,1
Jitendra M Patel,3.0,0,1,0,19.046666666666667,3
Jo Angel,0.0,0,1,0,0.0,1
Joel Garner,238.0,0,7,0,59.31224999999999,40
Joginder Sharma,35.0,0,0,0,132.82333333333335,3
Johan Botha,604.0,0,3,0,90.22306122448978,49
Johann D Nel,31.0,0,3,0,49.015,10
Johann Louw,23.0,0,0,0,328.57,1
Johanne A Samarasekera,124.0,0,0,0,51.93666666666666,6
Johannes A Morkel,680.0,0,1,1,97.72368421052632,38
Johannes J van der Wath,89.0,0,3,0,77.9125,8
John A Jameson,60.0,0,0,0,39.47333333333333,3
John A Maclean,11.0,0,0,0,33.33,1
John A R Blain,282.0,0,3,0,66.704,26
John A Rennie,183.0,0,7,0,47.00884615384616,26
John A Snow,9.0,0,1,0,20.5825,4
John C B Vaughan,30.0,0,1,0,25.813333333333333,3
John Dyson,755.0,0,1,0,45.2,27
John E Emburey,501.0,0,3,0,75.38,45
John E Morris,167.0,0,0,0,69.32375,8
John F M Morrison,252.0,0,0,0,54.30466666666667,15
John F Mooney,665.0,0,3,0,83.24027777777778,36
John F Reid,633.0,0,0,0,56.76541666666668,24
John G Bracewell,512.0,0,6,0,70.36744186046512,43
John G Thomas,1.0,0,2,0,11.11,3
John G Williamson,11.0,0,0,0,25.375,2
John G Wright,3891.0,1,9,1,49.40932432432434,148
John H Edrich,223.0,0,0,0,58.681666666666665,6
John H Hampshire,48.0,0,0,0,59.50333333333333,3
John J Whitaker,48.0,0,0,0,58.17,2
John K Lever,56.0,0,2,0,38.29454545454545,11
John M Brearley,510.0,0,6,0,39.86666666666666,24
John M Davison,799.0,1,5,0,88.97906249999998,32
John M Parker,248.0,0,1,0,48.340999999999994,21
John N Maguire,42.0,0,1,0,49.92272727272727,11
John N Valentine,3.0,0,1,0,13.635,2
John P Crawley,235.0,0,2,0,45.5525,12
John P R Lamsam,24.0,0,0,0,50.19,2
John W Hastings,82.0,0,2,0,97.17333333333335,9
Johnathan Lewis,50.0,0,0,0,81.9775,8
Jonathan M Bairstow,90.0,0,0,0,77.086,5
Jonathan N Rhodes,5935.0,2,15,2,75.37209090909091,220
Jonathan P Agnew,2.0,0,0,0,66.66,1
Jonathan P Millmow,0.0,0,1,0,0.0,1
Jonathan P Taylor,1.0,0,0,0,12.5,1
Joseph E Benjamin,0.0,0,1,0,0.0,1
Joseph L Denly,268.0,0,0,0,63.357777777777784,9
Joseph O Angara,23.0,0,4,0,31.549090909090907,11
Joseph R Ratnayeke,824.0,0,6,0,50.504347826086956,69
Joseph V Harris,91.0,0,0,0,44.68666666666666,6
Josephat Ababu,29.0,0,2,0,26.802,5
Joshua H Davey,149.0,0,0,0,60.68125,8
Juan Theron,5.0,0,0,0,100.0,1
Julien M Wiener,140.0,0,0,0,36.81285714285714,7
Junaid Khan,2.0,0,0,0,56.25,2
Junaid Siddique,1196.0,1,6,1,61.61132075471699,53
Junaid Siddiqui,35.0,0,1,0,43.76666666666667,3
Junaid Zia,2.0,0,1,0,16.665,2
Junior R Murray,678.0,0,4,0,58.65944444444445,36
Justin L Langer,160.0,0,0,0,101.38,7
Justin L Ontong,167.0,0,1,0,74.63799999999999,15
Justin M Kemp,1512.0,1,6,0,76.06818181818181,66
Justin T C Vaughan,162.0,0,0,0,63.345000000000006,16
K Hussain Butt,8.0,0,0,0,28.71,2
K M D Nuwan Kulasekara,645.0,0,10,0,68.56777777777778,63
Kabir Ali,93.0,0,2,0,65.15222222222222,9
Kabir Khan,10.0,0,1,0,56.11,5
Kalpesh A  Patel,1.0,0,1,0,50.0,2
Kalutarage Eric A Upashantha,49.0,0,0,0,67.75999999999999,8
Kamran Akmal,2924.0,5,6,0,78.79591666666664,120
Kamran Hussain,28.0,0,0,0,133.33,1
Kandage H R K Fernando,43.0,0,1,0,40.642,5
Kane S Williamson,466.0,2,3,0,64.600625,16
Kapil Dev,3783.0,1,16,0,83.98454545454543,198
Kapila I W Wijegunawardene,20.0,0,7,0,19.72083333333333,12
Karim Sadiq ,290.0,1,3,0,55.92666666666666,15
Kariyawasam T G D Prasad,17.0,0,1,0,29.06,4
Karl Whatham,18.0,0,0,0,43.9,1
Karsan D Ghavri,114.0,0,1,0,60.260625000000005,16
Karun Jethi,87.0,0,0,0,106.36666666666667,3
Karunakalage S C de Silva,39.0,0,9,0,41.886842105263156,19
Karuppiahyage R Pushpakumara,36.0,0,2,0,53.34444444444444,9
Kashif Raza,2.0,0,0,0,100.0,1
Kaushal S Lokuarachchi,210.0,0,2,0,65.28333333333335,18
Kaushalya Weeraratne,160.0,0,0,0,92.87666666666665,10
Kaushik N Amalean,15.0,0,1,0,44.35666666666666,3
Keegan O Meth,96.0,0,2,0,46.129999999999995,8
Keiron A Pollard,867.0,0,5,1,88.12658536585366,41
Keith D Boyce,57.0,0,0,0,75.66499999999999,4
Keith F Semple,64.0,0,0,0,33.96333333333333,6
Keith L T Arthurton,1904.0,0,14,0,59.44870967741934,93
Keith M Dabengwa,514.0,0,4,0,60.69264705882353,34
Keith R Stackpole,224.0,0,0,0,63.21333333333334,6
Keith W R Fletcher,757.0,1,0,0,64.17818181818183,22
Kelaniyage J Silva,1.0,0,0,0,100.0,1
Kemar A J Roach,59.0,0,6,0,49.29941176470588,17
Kennedy O Otieno,2016.0,2,12,0,42.78563218390805,87
Kenneth C G Benjamin,65.0,0,3,0,71.15153846153846,13
Kenneth E D Carroll,70.0,0,1,0,49.65833333333333,6
Kenneth H MacLeay,139.0,0,0,0,83.7176923076923,13
Kenneth J Wadsworth,258.0,1,1,0,65.715,10
Kenneth R Rutherford,3143.0,2,7,0,57.01339130434783,115
Kenneth Shuttleworth,7.0,0,0,0,36.84,1
Kepler C Wessels,3367.0,1,0,1,51.73571428571429,105
Kerry C B Jeremy,17.0,0,1,0,34.9375,4
Kerry J O'Keeffe,16.0,0,1,0,21.62,2
Kevin A D Hurdle,85.0,0,3,0,94.92153846153846,13
Kevin D Walters,513.0,0,1,0,66.89333333333336,24
Kevin G Duers,7.0,0,0,0,35.0,2
Kevin J Arnott,238.0,0,0,0,43.19916666666666,12
Kevin J O'Brien,1660.0,2,3,1,77.05711864406781,59
Kevin J Wright,29.0,0,0,0,51.08,2
Kevin M Curran,287.0,0,1,0,59.65090909090909,11
Kevin P Pietersen,3903.0,7,6,1,76.02491071428571,112
Kevin T Sandher,36.0,0,2,0,43.283,10
Khahakachchi P J Warnaweera,1.0,0,2,0,16.666666666666668,3
Khaled Mahmud,991.0,0,9,0,61.78486111111111,72
Khaled Mashud,1818.0,0,10,0,52.779909090909065,110
Khalid Khan,5.0,0,0,0,62.5,2
Khalid Latif,147.0,0,1,0,60.132000000000005,5
Khaliq Dad,39.0,0,1,0,37.615,4
Khuram Khan,93.0,0,0,0,49.9625,4
Khurram Chohan,142.0,0,2,0,58.60647058823528,17
Khurram Manzoor,236.0,0,1,0,46.78142857142858,7
Kieran O A  Powell,30.0,0,1,0,34.25666666666667,3
Kim J Barnett,84.0,0,0,0,57.53,1
Kimberley J Hughes,1968.0,0,13,1,53.14522727272729,88
Kiran S More,563.0,0,6,0,68.2087692307692,65
Kirk A Edwards,153.0,0,2,0,48.586666666666666,9
Kirtivardhan Azad,269.0,0,3,0,58.03190476190478,21
Klass-Jan J van Noortwijk,322.0,1,1,0,68.78555555555556,9
Krishna K D Karthik,1012.0,0,4,0,66.8534090909091,44
Krishnamachari Srikkanth,4091.0,4,11,5,60.703310344827585,145
Kumar C Sangakkara,9540.0,11,10,1,69.94393617021278,282
Kwame Tucker,95.0,0,1,0,36.529999999999994,12
Kyle C Hodsoll,2.0,0,1,0,20.0,2
Kyle D Mills,843.0,0,8,0,82.0947435897436,78
Kyle J Coetzer,384.0,0,1,0,83.22444444444444,9
Kyle M Jarvis,27.0,0,3,0,35.5625,8
L Dinesh Chandimal,348.0,2,1,0,77.99,12
Lakshmipathy Balaji,120.0,0,3,0,72.184375,16
Lalchand S Rajput,9.0,0,2,0,32.69,4
Lalith W Kaluperuma,33.0,0,0,0,58.07333333333332,3
Lamech N Onyango,144.0,0,3,0,73.75888888888888,18
Lance J Hamilton,3.0,0,0,0,50.0,2
Lance Klusener,3576.0,2,13,2,87.77043795620433,137
Lancelot R Gibbs,0.0,0,1,0,0.0,1
Laurie R Williams,124.0,0,2,0,50.627692307692314,13
